Numero;Date;Rain;Tmin;Tmax
97415511;2011-01-01;0.5;22;32.3
97415511;2011-01-02;0.5;21.4;32.9
97415511;2011-01-03;0;21.9;32.9
97415511;2011-01-04;8.5;21.2;32.2
97415511;2011-01-05;31;20.1;30.6
97415511;2011-01-06;40.5;20.1;30.6
97415511;2011-01-07;0.5;20.9;31.6
97415511;2011-01-08;0.5;20.9;30.6
97415511;2011-01-09;0;21.4;29.2
97415511;2011-01-10;3.5;22;30.5
97415511;2011-01-11;0;21.6;31.1
97415511;2011-01-12;0.5;22.4;32.2
97415511;2011-01-13;0;22.2;33.2
97415511;2011-01-14;0;22.5;34.5
97415511;2011-01-15;0;23.3;35.5
97415511;2011-01-16;0;23.1;33.1
97415511;2011-01-17;8;22.1;31.2
97415511;2011-01-18;1;21;31.4
97415511;2011-01-19;1.5;21.2;32.2
97415511;2011-01-20;0;21.8;31.9
97415511;2011-01-21;7;22.2;31.9
97415511;2011-01-22;0;21.6;30
97415511;2011-01-23;0;21.4;31.6
97415511;2011-01-24;4.5;21.8;30.9
97415511;2011-01-25;0;21.3;31.7
97415511;2011-01-26;0;21.2;31.3
97415511;2011-01-27;66.5;23.6;31.9
97415511;2011-01-28;81;22.5;27.3
97415511;2011-01-29;122;22.2;24.2
97415511;2011-01-30;72.5;22;26.3
97415511;2011-01-31;0;22.7;30.9
97415511;2011-02-01;2.5;22.6;32.2
97415511;2011-02-02;0;22;32.3
97415511;2011-02-03;0.5;22.7;30.3
97415511;2011-02-04;45.5;22.5;30.3
97415511;2011-02-05;0;21.6;30.6
97415511;2011-02-06;0;22.2;30.7
97415511;2011-02-07;4.5;22;31.5
97415511;2011-02-08;0;21.5;30.3
97415511;2011-02-09;0;21.2;30.6
97415511;2011-02-10;0;21.9;33.1
97415511;2011-02-11;10;22.2;32
97415511;2011-02-12;9.5;21.5;32.9
97415511;2011-02-13;0;22.1;30.9
97415511;2011-02-14;3;22.3;29.8
97415511;2011-02-15;0;21.8;32
97415511;2011-02-16;0;21.3;32.1
97415511;2011-02-17;0;22.7;30.4
97415511;2011-02-18;0;23.9;31.2
97415511;2011-02-19;4;24;31.2
97415511;2011-02-20;0;24.1;30.7
97415511;2011-02-21;0;23.9;31.4
97415511;2011-02-22;0;22.5;32.1
97415511;2011-02-23;0;22.9;31.9
97415511;2011-02-24;10.5;23.1;31.6
97415511;2011-02-25;0;22.3;31.6
97415511;2011-02-26;0;22.7;32.5
97415511;2011-02-27;0;23.7;33.1
97415511;2011-02-28;0;23.2;32.9
97415511;2011-03-01;0;22.1;32.6
97415511;2011-03-02;0;21.2;31.6
97415511;2011-03-03;4;22.3;33.7
97415511;2011-03-04;26;21.6;31.4
97415511;2011-03-05;2.5;20.7;31.5
97415511;2011-03-06;0;20.9;30.5
97415511;2011-03-07;0;21.2;32.3
97415511;2011-03-08;0;22.4;30.6
97415511;2011-03-09;0;21.2;31.2
97415511;2011-03-10;10;22.3;32
97415511;2011-03-11;0;22.3;31.4
97415511;2011-03-12;0;22.2;31.7
97415511;2011-03-13;3;21.8;31.4
97415511;2011-03-14;12;21.8;31.4
97415511;2011-03-15;0;20.6;31.2
97415511;2011-03-16;0;22.2;31.3
97415511;2011-03-17;0;21.1;31.3
97415511;2011-03-18;0;21.2;31.7
97415511;2011-03-19;0;21.6;31
97415511;2011-03-20;0;21.3;32.3
97415511;2011-03-21;1;22.7;32.5
97415511;2011-03-22;0;21.6;32.1
97415511;2011-03-23;0;21.6;31.3
97415511;2011-03-24;0;21.5;32.7
97415511;2011-03-25;0;21.4;30.7
97415511;2011-03-26;0.5;20.7;32.8
97415511;2011-03-27;1.5;22.2;32.4
97415511;2011-03-28;8;21.2;32.4
97415511;2011-03-29;0;21.9;31.4
97415511;2011-03-30;0;21.9;32.9
97415511;2011-03-31;0;21.9;32.4
97415511;2011-04-01;6.5;21.7;30.8
97415511;2011-04-02;0;20.5;32.4
97415511;2011-04-03;0;21.2;32.5
97415511;2011-04-04;0;21.3;32.5
97415511;2011-04-05;0.5;21.8;31.5
97415511;2011-04-06;0;21.5;32.1
97415511;2011-04-07;0;21.4;33.1
97415511;2011-04-08;1;21.8;31.6
97415511;2011-04-09;0;22.3;31.9
97415511;2011-04-10;0;21;31.1
97415511;2011-04-11;0;21.9;32.8
97415511;2011-04-12;0;23.1;29.8
97415511;2011-04-13;0;20.9;33.2
97415511;2011-04-14;1.5;21.6;31.7
97415511;2011-04-15;1.5;20.8;29.8
97415511;2011-04-16;0.5;21.7;31.4
97415511;2011-04-17;0;21.6;32.1
97415511;2011-04-18;1.5;21.9;32
97415511;2011-04-19;0;20.8;31.8
97415511;2011-04-20;0;20;30.4
97415511;2011-04-21;0;20.7;32.6
97415511;2011-04-22;0;20.9;30.5
97415511;2011-04-23;0;20;32.7
97415511;2011-04-24;1;21.1;31.5
97415511;2011-04-25;0;20.6;32.5
97415511;2011-04-26;0;21.9;31.1
97415511;2011-04-27;0;21.3;31.7
97415511;2011-04-28;0;21.2;30.2
97415511;2011-04-29;0;20.4;30.9
97415511;2011-04-30;0;21.1;32.5
97415511;2011-05-01;0;20.8;30.9
97415511;2011-05-02;0;19.3;30.7
97415511;2011-05-03;3;20.1;29.5
97415511;2011-05-04;2;18.9;31.2
97415511;2011-05-05;0;19.4;30.2
97415511;2011-05-06;0;20.1;30.9
97415511;2011-05-07;5.5;21;30.8
97415511;2011-05-08;0;18.4;30.1
97415511;2011-05-09;0.5;19.7;29.1
97415511;2011-05-10;10.5;19.2;28.8
97415511;2011-05-11;0.5;19.6;28.4
97415511;2011-05-12;0;20.1;29.5
97415511;2011-05-13;0;20;29.2
97415511;2011-05-14;8.5;20;28.9
97415511;2011-05-15;0;18.5;28.7
97415511;2011-05-16;0;19.5;28.6
97415511;2011-05-17;0;18.9;28.9
97415511;2011-05-18;1.5;19.4;28.5
97415511;2011-05-19;0;19;29.4
97415511;2011-05-20;0;19.1;29.2
97415511;2011-05-21;0;19.8;30.5
97415511;2011-05-22;0;20;30.3
97415511;2011-05-23;0;20;30.5
97415511;2011-05-24;0;20.1;29.5
97415511;2011-05-25;0;20;30.5
97415511;2011-05-26;0.5;19.7;29.7
97415511;2011-05-27;0;19.1;30.7
97415511;2011-05-28;0;20;31.2
97415511;2011-05-29;0;18.9;31.5
97415511;2011-05-30;0;19.2;32
97415511;2011-05-31;0;19.8;29.4
97415511;2011-06-01;2.5;19.8;29.3
97415511;2011-06-02;0;18.4;30.1
97415511;2011-06-03;0;18.9;29.6
97415511;2011-06-04;0;18.6;29.7
97415511;2011-06-05;0;19;29.7
97415511;2011-06-06;0;19.4;27.9
97415511;2011-06-07;0;19.1;29.4
97415511;2011-06-08;0;18.9;29.2
97415511;2011-06-09;0;17.9;28.9
97415511;2011-06-10;0;19;29.6
97415511;2011-06-11;0;18.5;30
97415511;2011-06-12;35;19.5;28.7
97415511;2011-06-13;40.5;18.9;27.2
97415511;2011-06-14;22;18.4;25.7
97415511;2011-06-15;0;17.9;27.7
97415511;2011-06-16;0;19.2;28.5
97415511;2011-06-17;0;19.4;29
97415511;2011-06-18;12.5;19.5;27.3
97415511;2011-06-19;0;18.6;28.8
97415511;2011-06-20;0;18.1;26
97415511;2011-06-21;0;17.6;27
97415511;2011-06-22;0;16;27
97415511;2011-06-23;0;19.2;27.9
97415511;2011-06-24;0;17.6;27
97415511;2011-06-25;0;18.1;27.3
97415511;2011-06-26;0;19.9;25.6
97415511;2011-06-27;0;19;28.5
97415511;2011-06-28;0;18.8;28.2
97415511;2011-06-29;0;19.8;27.7
97415511;2011-06-30;0;17.3;27.8
97415511;2011-07-01;0;16.9;26.4
97415511;2011-07-02;0;19.6;26.5
97415511;2011-07-03;0;19.1;26.7
97415511;2011-07-04;0.5;17.5;27.3
97415511;2011-07-05;0;18.3;25.9
97415511;2011-07-06;0;17.8;26.1
97415511;2011-07-07;1.5;16.6;26.9
97415511;2011-07-08;0;18.6;28
97415511;2011-07-09;0;16.5;26.1
97415511;2011-07-10;0;16.9;26.4
97415511;2011-07-11;0;16.4;25.6
97415511;2011-07-12;0;16.6;25.9
97415511;2011-07-13;0;15.6;26.2
97415511;2011-07-14;0;16.1;26.7
97415511;2011-07-15;0;16.1;27
97415511;2011-07-16;0;16.1;27
97415511;2011-07-17;0;17.2;26.5
97415511;2011-07-18;0;17.7;28.7
97415511;2011-07-19;0;18.3;28.9
97415511;2011-07-20;0;18.7;27
97415511;2011-07-21;0;17.1;27.6
97415511;2011-07-22;0;17.6;27.7
97415511;2011-07-23;0;17;26.5
97415511;2011-07-24;0;16;27.2
97415511;2011-07-25;0;16.7;25.9
97415511;2011-07-26;0;18.1;26.5
97415511;2011-07-27;0;17.5;26.9
97415511;2011-07-28;0;16.9;29
97415511;2011-07-29;0;18.2;28.3
97415511;2011-07-30;0;18.6;29.1
97415511;2011-07-31;1.5;18;27.9
97415511;2011-08-01;0;16.7;27.5
97415511;2011-08-02;0;17.5;26.4
97415511;2011-08-03;0;17;25.9
97415511;2011-08-04;0;16.7;25.4
97415511;2011-08-05;0;18.4;27
97415511;2011-08-06;0;16.9;27
97415511;2011-08-07;0;17.3;27.2
97415511;2011-08-08;0;17.7;26.1
97415511;2011-08-09;1;16.4;27.1
97415511;2011-08-10;0.5;17.4;27.3
97415511;2011-08-11;1;16.2;27.5
97415511;2011-08-12;1;17.2;27.8
97415511;2011-08-13;0;18.5;30
97415511;2011-08-14;13;17.9;26.1
97415511;2011-08-15;0;16.9;27.7
97415511;2011-08-16;0.5;18;28.1
97415511;2011-08-17;0;17.6;28.1
97415511;2011-08-18;0;16.9;27.6
97415511;2011-08-19;0;17.4;28.8
97415511;2011-08-20;0;17.4;28.1
97415511;2011-08-21;2;19.3;27.8
97415511;2011-08-22;4;17.1;27
97415511;2011-08-23;0;16.9;26.8
97415511;2011-08-24;0;16.6;26.6
97415511;2011-08-25;0;16.9;25.6
97415511;2011-08-26;0;17.1;25.5
97415511;2011-08-27;0;17.3;25.9
97415511;2011-08-28;0;16.4;26.2
97415511;2011-08-29;0;16.8;26
97415511;2011-08-30;0;16.9;27.1
97415511;2011-08-31;0;16.4;27
97415511;2011-09-01;0;16.3;26.7
97415511;2011-09-02;0;17.1;27.7
97415511;2011-09-03;0;17.4;28.2
97415511;2011-09-04;0;17.9;27.2
97415511;2011-09-05;0;18;27.5
97415511;2011-09-06;0;17.3;28.8
