Numero;Date;Rain;Tmin;Tmax
97417360;2011-01-01;0.8;24;30.1
97417360;2011-01-02;2;23.1;29.9
97417360;2011-01-03;1.8;22.6;29.7
97417360;2011-01-04;7.4;21.2;30.1
97417360;2011-01-05;9.6;19.8;29.4
97417360;2011-01-06;0;20.2;29.4
97417360;2011-01-07;0;20;30.2
97417360;2011-01-08;0;21.3;30.6
97417360;2011-01-09;0;21.8;30.3
97417360;2011-01-10;0;22.1;30.3
97417360;2011-01-11;3.4;22.8;31.6
97417360;2011-01-12;35;23.4;31
97417360;2011-01-13;1.4;23;29.9
97417360;2011-01-14;3.4;23.5;30.6
97417360;2011-01-15;0.6;24.5;30.4
97417360;2011-01-16;3.8;21.9;30.2
97417360;2011-01-17;0;23.1;32.5
97417360;2011-01-18;1.4;23.2;30.3
97417360;2011-01-19;1;23;30.2
97417360;2011-01-20;24.2;22.7;30.7
97417360;2011-01-21;12.2;22.3;28
97417360;2011-01-22;0;23.7;29.4
97417360;2011-01-23;12.4;20.9;31.4
97417360;2011-01-24;20.8;21.1;30.3
97417360;2011-01-25;4.6;20.7;30.4
97417360;2011-01-26;0;20.8;29.4
97417360;2011-01-27;7;21.9;33.2
97417360;2011-01-28;19.4;23.4;29.6
97417360;2011-01-29;5;23.3;28.6
97417360;2011-01-30;25.4;23.3;30.9
97417360;2011-01-31;0;23;32
97417360;2011-02-01;3.4;23.7;32.9
97417360;2011-02-02;37;22.5;31.1
97417360;2011-02-03;8;22.1;29
97417360;2011-02-04;10;22.4;29.2
97417360;2011-02-05;0;23.4;30.8
97417360;2011-02-06;1.4;22.1;32
97417360;2011-02-07;4.8;23.9;28.9
97417360;2011-02-08;0.4;23.7;30
97417360;2011-02-09;30.6;23.8;29.4
97417360;2011-02-10;3;23.6;30.1
97417360;2011-02-11;56.4;22.2;28.6
97417360;2011-02-12;90;22.5;32.3
97417360;2011-02-13;39.4;23.3;29
97417360;2011-02-14;93.8;24;32.3
97417360;2011-02-15;39.4;23.3;29
97417360;2011-02-16;16.6;24;31.4
97417360;2011-02-17;2.2;23.3;31.4
97417360;2011-02-18;12.4;23;31
97417360;2011-02-19;0;23.1;31.6
97417360;2011-02-20;0;23.9;31.2
97417360;2011-02-21;41;24.3;29.9
97417360;2011-02-22;0.8;23.3;32.1
97417360;2011-02-23;0.4;22.3;30.1
97417360;2011-02-24;31;23;29.3
97417360;2011-02-25;7.6;23;30.7
97417360;2011-02-26;20;22.8;30.1
97417360;2011-02-27;3.8;23.6;31.4
97417360;2011-02-28;0;23.4;31.2
97417360;2011-03-01;0;22.5;31.5
97417360;2011-03-02;8;21.5;31
97417360;2011-03-03;3;24;31.5
97417360;2011-03-04;13;23.5;30
97417360;2011-03-05;2;23.5;31
97417360;2011-03-06;13;23.5;30.5
97417360;2011-03-07;15;23;30
97417360;2011-03-08;0;22;31.5
97417360;2011-03-09;1;22;30.5
97417360;2011-03-10;1.2;23;32.5
97417360;2011-03-11;0;22.6;33.6
97417360;2011-03-12;38.6;24.7;29.5
97417360;2011-03-13;8;23;30.6
97417360;2011-03-14;12;21.9;29
97417360;2011-03-15;35;23.6;29.3
97417360;2011-03-16;10;22.3;29
97417360;2011-03-17;8;22.6;30.2
97417360;2011-03-18;20;22.5;29.4
97417360;2011-03-19;10;21.8;28.9
97417360;2011-03-20;15;23.1;29
97417360;2011-03-21;14;23.3;28.9
97417360;2011-03-22;35;22;28.4
97417360;2011-03-23;20;22.3;27.8
97417360;2011-03-24;0;22.5;28
97417360;2011-03-25;0;21;28.2
97417360;2011-03-26;45;22.3;26.3
97417360;2011-03-27;35;22.5;28.3
97417360;2011-03-28;85;22.2;30
97417360;2011-03-29;8;21.7;28
97417360;2011-03-30;1;21.2;30.8
97417360;2011-03-31;1;22;31.2
97417360;2011-04-01;4;21.6;29.6
97417360;2011-04-02;1;23.5;29.3
97417360;2011-04-03;1;21.7;29.2
97417360;2011-04-04;50;21.9;29.5
97417360;2011-04-05;4;21.5;28.6
97417360;2011-04-06;2;22.7;29.9
97417360;2011-04-07;25;23.8;27.7
97417360;2011-04-08;25;23.3;28.5
97417360;2011-04-09;5;23.5;29.5
97417360;2011-04-10;1;22.5;30
97417360;2011-04-11;0;23;30.5
97417360;2011-04-12;0;22;31
97417360;2011-04-13;0;22.5;30.5
97417360;2011-04-14;10;23;30.5
97417360;2011-04-15;1;22.5;27.5
97417360;2011-04-16;8;23.5;30.5
97417360;2011-04-17;3;23.5;29.5
97417360;2011-04-18;2;23;29.5
97417360;2011-04-19;2;23;29.5
97417360;2011-04-20;2;22;29.2
97417360;2011-04-21;1;21.5;29.7
97417360;2011-04-22;0;21.1;29
97417360;2011-04-23;0;19.4;28.4
97417360;2011-04-24;2;20.8;28.2
97417360;2011-04-25;6;21;30.2
97417360;2011-04-26;8;21.6;29.3
97417360;2011-04-27;3;20.9;29
97417360;2011-04-28;0;19.7;30.4
97417360;2011-04-29;0;19.6;30
97417360;2011-04-30;0;19.7;29.5
97417360;2011-05-01;0;19.3;29.3
97417360;2011-05-02;0;19.2;28.5
97417360;2011-05-03;2;20;28.5
97417360;2011-05-04;25;19.1;29.3
97417360;2011-05-05;0;19.6;27.6
97417360;2011-05-06;35;20.7;28.6
97417360;2011-05-07;25;19.5;28.6
97417360;2011-05-08;0;20.3;26.8
97417360;2011-05-09;0;18.1;26.2
97417360;2011-05-10;30;21.5;25.5
97417360;2011-05-11;5;21.1;26.5
97417360;2011-05-12;0;20.3;27.4
97417360;2011-05-13;10;20.2;27
97417360;2011-05-14;20;20.5;27
97417360;2011-05-15;1;19.8;26.8
97417360;2011-05-16;0;19.3;26.4
97417360;2011-05-17;0;18.5;26.4
97417360;2011-05-18;8;20.1;26.4
