Numero;Date;Rain;Tmin;Tmax
97422465;2011-01-01;0;16.7;26.5
97422465;2011-01-02;0;15.2;29.3
97422465;2011-01-03;0;15.5;30
97422465;2011-01-04;3;15.3;28.8
97422465;2011-01-05;0;14.7;27.1
97422465;2011-01-06;0;14.8;28.7
97422465;2011-01-07;1.5;14.6;27.3
97422465;2011-01-08;0;14.7;29.4
97422465;2011-01-09;0;15.2;29.6
97422465;2011-01-10;0;16;30.4
97422465;2011-01-11;0;16.6;29.3
97422465;2011-01-12;2;17.8;28.7
97422465;2011-01-13;0;18;28.4
97422465;2011-01-14;0;18.4;29.1
97422465;2011-01-15;0;18.7;30.4
97422465;2011-01-16;0;15.3;28
97422465;2011-01-17;6.5;17.2;26.9
97422465;2011-01-18;6;17.2;25.9
97422465;2011-01-19;11;15.2;26.9
97422465;2011-01-20;4.5;18.1;26.8
97422465;2011-01-21;28;16.8;24.5
97422465;2011-01-22;0;17.6;27.3
97422465;2011-01-23;0;15;26.1
97422465;2011-01-24;6;16.7;26.3
97422465;2011-01-25;8;16.4;26.5
97422465;2011-01-26;0;15.8;26
97422465;2011-01-27;12;17.3;30.1
97422465;2011-01-28;22;19.8;27.6
97422465;2011-01-29;11;19.7;25.1
97422465;2011-01-30;62;18.7;27.3
97422465;2011-01-31;0;19.7;28.6
97422465;2011-02-01;24.5;19.8;27.4
97422465;2011-02-02;42.5;18.2;27
97422465;2011-02-03;8;18.5;25.9
97422465;2011-02-04;4.5;17.6;25.8
97422465;2011-02-05;4.5;18.1;27
97422465;2011-02-06;0;16.8;27
97422465;2011-02-07;1.5;17.9;25.7
97422465;2011-02-08;0;17.5;29.2
97422465;2011-02-09;1;16.2;27.6
97422465;2011-02-10;0;18;27.2
97422465;2011-02-11;3;18.2;28
97422465;2011-02-12;10;20;28
97422465;2011-02-13;0;20;28
97422465;2011-02-14;2;20;25.4
97422465;2011-02-15;4;18.5;27.5
97422465;2011-02-16;0;15.1;26.8
97422465;2011-02-17;0;18.7;27.7
97422465;2011-02-18;17;18.5;28
97422465;2011-02-19;0;20;29.6
97422465;2011-02-20;0;20;29.3
97422465;2011-02-21;1;18.6;26.3
97422465;2011-02-22;2;17.9;28.3
97422465;2011-02-23;7.5;17.5;28.7
97422465;2011-02-24;7.5;17.7;26.4
97422465;2011-02-25;3;17;27.3
97422465;2011-02-26;3;17.8;28.8
97422465;2011-02-27;0;19.5;27
97422465;2011-02-28;0;18.2;26.8
97422465;2011-03-01;0.5;16.5;26.8
97422465;2011-03-02;1.5;15.6;27.3
97422465;2011-03-03;41;17.1;26.7
97422465;2011-03-04;12;16.9;27.6
97422465;2011-03-05;52;16.2;26.6
97422465;2011-03-06;0;16.1;26
97422465;2011-03-07;0;18;26.3
97422465;2011-03-08;0;17.5;26.3
97422465;2011-03-09;0;16.9;25.9
97422465;2011-03-10;0;17.7;26.8
97422465;2011-03-11;0;17.8;26.9
97422465;2011-03-12;0.5;16.5;28.1
97422465;2011-03-13;0;17.1;27.4
97422465;2011-03-14;6.5;17.2;27
97422465;2011-03-15;0;17.2;27.2
97422465;2011-03-16;0;18.5;27.9
97422465;2011-03-17;0;17.9;27
97422465;2011-03-18;0;17.8;27.1
97422465;2011-03-19;1;16.6;28.7
97422465;2011-03-20;3;16.6;27.5
97422465;2011-03-21;10;18.1;26.3
97422465;2011-03-22;1;17.1;24.7
97422465;2011-03-23;0.5;16.5;26.9
97422465;2011-03-24;0.5;16.5;27.4
97422465;2011-03-25;0;14.9;25.8
97422465;2011-03-26;56.5;15.3;28.4
97422465;2011-03-27;0.5;19.2;25.7
97422465;2011-03-28;1.5;17.7;27.9
97422465;2011-03-29;0;17.9;26.1
97422465;2011-03-30;0;17.4;26.9
97422465;2011-03-31;10.5;18.2;27.1
97422465;2011-04-01;6;16.4;25.1
97422465;2011-04-02;0;15;25.8
97422465;2011-04-03;0.5;15.5;25.4
97422465;2011-04-04;0.5;16.6;25.8
97422465;2011-04-05;0;17.2;26.2
97422465;2011-04-06;0;17.2;26.8
97422465;2011-04-07;0;18.2;28.2
97422465;2011-04-08;9;18.1;25.4
97422465;2011-04-09;24;17.5;24.6
97422465;2011-04-10;0;16.1;25.6
97422465;2011-04-11;0;17.3;26.8
97422465;2011-04-12;0;17.3;26.1
97422465;2011-04-13;0;17.9;26.4
97422465;2011-04-14;2;18.6;26.2
97422465;2011-04-15;0.5;18.3;23.1
97422465;2011-04-16;0;17.4;27.4
