Numero;Date;Rain;Tmin;Tmax
97420150;2011-01-01;0;20.8;29
97420150;2011-01-02;0;21.7;28.9
97420150;2011-01-03;2;21.9;28.4
97420150;2011-01-04;18.6;20.6;28.9
97420150;2011-01-05;0;20.3;28.4
97420150;2011-01-06;0;20.4;28.9
97420150;2011-01-07;0.2;20.5;28.8
97420150;2011-01-08;0;21.1;29.2
97420150;2011-01-09;0;20.9;29.9
97420150;2011-01-10;0;21.5;29.7
97420150;2011-01-11;2;22.1;30
97420150;2011-01-12;20.8;22;28.5
97420150;2011-01-13;0;21.3;28.6
97420150;2011-01-14;4;22.8;28.8
97420150;2011-01-15;0;22.6;28.6
97420150;2011-01-16;6;21.1;29.2
97420150;2011-01-17;8;22.4;28.4
97420150;2011-01-18;3.2;21.1;28.6
97420150;2011-01-19;7.8;20.8;29
97420150;2011-01-20;14;21;29
97420150;2011-01-21;50.4;21.7;26.1
97420150;2011-01-22;0.2;21.1;28.5
97420150;2011-01-23;4.2;21.1;29.7
97420150;2011-01-24;16.6;22;28
97420150;2011-01-25;2.6;21.2;27.6
97420150;2011-01-26;0;20.9;31.5
97420150;2011-01-27;81.8;22.8;30.3
97420150;2011-01-28;104.2;23;27.6
97420150;2011-01-29;281;22.1;24.6
97420150;2011-01-30;218.2;22.2;24.2
97420150;2011-01-31;3.8;22.9;29.2
97420150;2011-02-01;10.4;23.6;29.3
97420150;2011-02-02;14;22.6;28.9
97420150;2011-02-03;4.2;23;29.8
97420150;2011-02-04;15;22.4;30
97420150;2011-02-05;0;22.9;29.5
97420150;2011-02-06;6;23.4;29.8
97420150;2011-02-07;3;21.5;29
97420150;2011-02-08;5;21.5;26.5
97420150;2011-02-09;25;21;30
97420150;2011-02-10;0;22;29
97420150;2011-02-11;21;23.5;29.2
97420150;2011-02-12;43.8;21.4;28.8
97420150;2011-02-13;12.4;22.7;28.5
97420150;2011-02-14;31.8;23.6;28.9
97420150;2011-02-15;0.2;22.6;28
97420150;2011-02-16;8;21.8;29.9
97420150;2011-02-17;17;22.9;27.2
97420150;2011-02-18;9.4;23.8;28.3
97420150;2011-02-19;6.6;23.8;30.3
97420150;2011-02-20;0;24.6;30.3
97420150;2011-02-21;0;23.9;31.1
97420150;2011-02-22;0;22.4;30.4
97420150;2011-02-23;3;22.5;30.4
97420150;2011-02-24;18.8;22.3;30.5
97420150;2011-02-25;0;22.8;30.3
97420150;2011-02-26;1.2;23;31.1
97420150;2011-02-27;7.6;23.9;30.9
97420150;2011-02-28;0.2;23.7;29.2
97420150;2011-03-01;0;22.2;29.4
97420150;2011-03-02;0.2;21.2;30.7
97420150;2011-03-03;5.8;22.7;29.8
97420150;2011-03-04;6;22;28.7
97420150;2011-03-05;0.6;22.3;29.3
97420150;2011-03-06;0.4;22.7;28.5
97420150;2011-03-07;0.2;22.1;30.3
97420150;2011-03-08;0;22.5;30.4
97420150;2011-03-09;0;21.4;30.6
97420150;2011-03-10;78.4;23.4;30.7
97420150;2011-03-11;0;22.8;29
97420150;2011-03-12;0.2;23;28.7
97420150;2011-03-13;3;23;29.5
97420150;2011-03-14;10.2;22.8;28.8
97420150;2011-03-15;26.6;21.5;28.2
97420150;2011-03-16;31.2;21.1;27.9
97420150;2011-03-17;16;21.9;28.6
97420150;2011-03-18;9.2;21.1;27.8
97420150;2011-03-19;1.6;20.9;28.4
97420150;2011-03-20;0;22.8;31
97420150;2011-03-21;10.8;22.1;29.4
97420150;2011-03-22;0.2;21.5;29.3
97420150;2011-03-23;0;21.7;30
97420150;2011-03-24;0;21.8;29.2
97420150;2011-03-25;0;21.4;29
97420150;2011-03-26;80.2;22.1;28.9
97420150;2011-03-27;4.6;22.3;29.3
97420150;2011-03-28;13.2;22.8;28.2
97420150;2011-03-29;13;23;27.7
97420150;2011-03-30;0;22.4;29
97420150;2011-03-31;2.6;22.4;29
97420150;2011-04-01;0.4;22.3;28.2
97420150;2011-04-02;5.8;21.9;28.5
97420150;2011-04-03;1.2;21;28.2
97420150;2011-04-04;17.4;21.8;28.2
97420150;2011-04-05;4.4;21.7;27.6
97420150;2011-04-06;17.4;21.8;28.6
97420150;2011-04-07;34.2;22.4;28
97420150;2011-04-08;35.6;21.6;28.5
97420150;2011-04-09;4;22;27.6
97420150;2011-04-10;0;21.8;28.7
97420150;2011-04-11;4.2;21.3;30.3
97420150;2011-04-12;3.6;21;27.5
97420150;2011-04-13;1.4;20.1;29
97420150;2011-04-14;51.2;21.1;29.2
97420150;2011-04-15;19.6;20.2;26.7
97420150;2011-04-16;0;21.8;28.8
97420150;2011-04-17;9.4;21.3;27.3
97420150;2011-04-18;8.6;21.7;28.6
97420150;2011-04-19;0.2;21;28.5
97420150;2011-04-20;0;20;28.5
97420150;2011-04-21;0.8;21.5;28.5
97420150;2011-04-22;0.4;20.5;28.5
97420150;2011-04-23;0;20;30
97420150;2011-04-24;0;21.5;29.4
97420150;2011-04-25;0.2;20.3;29.2
97420150;2011-04-26;0.4;21.9;28.6
97420150;2011-04-27;0;21.1;29
97420150;2011-04-28;0;21.1;29.2
97420150;2011-04-29;0;20.9;28.2
97420150;2011-04-30;3.8;20.3;29
97420150;2011-05-01;0;19.5;27.9
97420150;2011-05-02;0;18.8;28.5
97420150;2011-05-03;7.6;20.7;26.9
97420150;2011-05-04;16.8;19.4;25.2
97420150;2011-05-05;0;19.6;27.3
97420150;2011-05-06;0;20.4;28.2
97420150;2011-05-07;6.6;20.5;28.4
97420150;2011-05-08;0;19.5;27.7
97420150;2011-05-09;2;19;25.6
97420150;2011-05-10;19.4;20.6;24.7
97420150;2011-05-11;33.2;20.6;22.8
97420150;2011-05-12;24.8;20;25.7
97420150;2011-05-13;11.6;19.5;27.7
97420150;2011-05-14;20.4;19.4;26.8
97420150;2011-05-15;0;18.9;26.5
97420150;2011-05-16;0;18.5;27.2
97420150;2011-05-17;0;17.6;27
97420150;2011-05-18;0;19.4;26.4
97420150;2011-05-19;0;19.4;26.4
97420150;2011-05-20;0;17.3;27.2
97420150;2011-05-21;0;19.5;27.3
97420150;2011-05-22;0;19.4;27.3
97420150;2011-05-23;0;20.1;27.7
97420150;2011-05-24;0;20.2;27.1
97420150;2011-05-25;2;19.9;24.8
97420150;2011-05-26;25.6;19.7;26.5
97420150;2011-05-27;0;20.2;26.1
97420150;2011-05-28;0;19;26.9
97420150;2011-05-29;0;18.9;27.3
97420150;2011-05-30;0;19.5;27.6
97420150;2011-05-31;0;18.7;26.9
97420150;2011-06-01;0;19.1;26.6
97420150;2011-06-02;0;18.9;26.5
97420150;2011-06-03;0;18.7;26
97420150;2011-06-04;0;19.4;25.8
97420150;2011-06-05;0;19;26.1
97420150;2011-06-06;0;19.4;25.2
97420150;2011-06-07;3;20;25
97420150;2011-06-08;0.4;19.8;25.1
97420150;2011-06-09;2;18.7;25.6
97420150;2011-06-10;0;19.2;25.6
97420150;2011-06-11;3.2;18.9;25.3
97420150;2011-06-12;88;19;25.2
97420150;2011-06-13;37.8;19.3;25.3
97420150;2011-06-14;10.2;19.4;23.6
97420150;2011-06-15;19.2;18.5;25.2
97420150;2011-06-16;31.8;19.9;24.4
97420150;2011-06-17;6;20.5;25.1
97420150;2011-06-18;0.4;18.5;26.2
97420150;2011-06-19;0;18.8;26.5
97420150;2011-06-20;7.2;16.9;23.2
97420150;2011-06-21;0;17.7;24.3
97420150;2011-06-22;0;15.7;25.7
97420150;2011-06-23;0;19.3;25.6
97420150;2011-06-24;0;17.5;26.5
97420150;2011-06-25;4.6;18.2;26.1
97420150;2011-06-26;32.8;19.8;23.1
97420150;2011-06-27;0;19;26.4
97420150;2011-06-28;2;19.3;25.5
97420150;2011-06-29;0;19.9;25.1
97420150;2011-06-30;0;17.1;25.6
97420150;2011-07-01;0.4;16.6;26.3
97420150;2011-07-02;0;19.7;26.9
97420150;2011-07-03;1.8;19.5;24.8
97420150;2011-07-04;0;16.8;26
97420150;2011-07-05;0;17.8;24.6
97420150;2011-07-06;0;17.7;23.6
