Numero;Date;Rain;Tmin;Tmax
97421210;2011-01-01;0;15.2;28.7
97421210;2011-01-02;0;16.3;28.1
97421210;2011-01-03;3;16.4;28.1
97421210;2011-01-04;0;15.9;26
97421210;2011-01-05;25;15.8;28.1
97421210;2011-01-06;5;15.6;27.2
97421210;2011-01-07;0;14.7;26.6
97421210;2011-01-08;0.2;15.5;26.9
97421210;2011-01-09;0;15.9;28.7
97421210;2011-01-10;0.2;16.8;27.9
97421210;2011-01-11;2;17;27
97421210;2011-01-12;36.2;17.2;26
97421210;2011-01-13;0;17.2;27.5
97421210;2011-01-14;4.2;17;26.9
97421210;2011-01-15;0.2;18;27.9
97421210;2011-01-16;6.4;15.3;28.4
97421210;2011-01-17;1.8;17.7;24.4
97421210;2011-01-18;0.2;16.5;26.7
97421210;2011-01-19;1;15.8;26.2
97421210;2011-01-20;4.6;16.2;27.5
97421210;2011-01-21;12.2;17.3;23.1
97421210;2011-01-22;0;16.1;25.4
97421210;2011-01-23;0.4;15.8;27.8
97421210;2011-01-24;18;16.9;26.3
97421210;2011-01-25;4.8;16.9;26
97421210;2011-01-26;0;17;26.8
97421210;2011-01-27;96.4;18.7;26.8
97421210;2011-01-28;134.6;19.7;23.2
97421210;2011-01-29;181.2;19.2;20.7
97421210;2011-01-30;291.6;19.2;20.7
97421210;2011-01-31;2.2;19.2;24.9
97421210;2011-02-01;41;18.8;26.9
97421210;2011-02-02;4.6;18.2;25.5
97421210;2011-02-03;19.4;18.4;25.7
97421210;2011-02-04;6.2;18.3;28.2
97421210;2011-02-05;0;18.8;28.4
97421210;2011-02-06;2;17.9;27.3
97421210;2011-02-07;2;19;25
97421210;2011-02-08;0;17.6;26.4
97421210;2011-02-09;12;17.2;27
97421210;2011-02-10;10.6;18.5;26.1
97421210;2011-02-11;12.2;17.1;27.2
97421210;2011-02-12;89.6;18.5;27.2
97421210;2011-02-13;15.6;19.1;25.8
97421210;2011-02-14;81;19.1;23.9
97421210;2011-02-15;0;18.2;26.9
97421210;2011-02-16;11.8;15.8;27.4
97421210;2011-02-17;18;19.6;23.3
97421210;2011-02-18;44.4;19.9;25
97421210;2011-02-19;14.2;18.9;28.2
97421210;2011-02-20;0;20.1;30.4
97421210;2011-02-21;0.2;19.7;29.3
97421210;2011-02-22;0;18.4;27.4
97421210;2011-02-23;0;18.9;29.5
97421210;2011-02-24;12.2;18.8;29
97421210;2011-02-25;0.2;18.2;28.7
97421210;2011-02-26;5.8;18.6;28.4
97421210;2011-02-27;0.2;20.7;29.1
97421210;2011-02-28;0;18.9;28.1
97421210;2011-03-01;0.2;16.9;27.8
97421210;2011-03-02;0;16.7;28.5
97421210;2011-03-03;0.2;18.1;27.2
97421210;2011-03-04;0.6;17.5;25.3
97421210;2011-03-05;0.6;17.3;27.4
97421210;2011-03-06;0.4;17;25.5
97421210;2011-03-07;0;17.6;27.1
97421210;2011-03-08;0;18.6;28
97421210;2011-03-09;0.2;17.7;27.9
97421210;2011-03-10;2;18.2;28
97421210;2011-03-11;0.2;18.7;24.6
97421210;2011-03-12;0;17.5;27.7
97421210;2011-03-13;0.8;17.7;26.1
97421210;2011-03-14;12.2;17.9;26.4
97421210;2011-03-15;14.4;16.4;26.9
97421210;2011-03-16;11.8;17.9;25.9
97421210;2011-03-17;3.8;16.6;25.3
97421210;2011-03-18;4.4;16.3;25.9
97421210;2011-03-19;0;16.8;27
97421210;2011-03-20;0;17.3;27.6
97421210;2011-03-21;0.2;18.1;27.3
97421210;2011-03-22;0;18;27
97421210;2011-03-23;0;18;27.6
97421210;2011-03-24;0;18;25.5
97421210;2011-03-25;0.2;16.8;27.4
97421210;2011-03-26;83.8;16.6;28
97421210;2011-03-27;0.4;19;26
97421210;2011-03-28;8.4;18.1;25.3
97421210;2011-03-29;6;18.1;24.3
97421210;2011-03-30;0.2;17.3;26.9
97421210;2011-03-31;0.2;17.4;27.2
97421210;2011-04-01;6;16.9;26.6
97421210;2011-04-02;1;14.9;26.7
97421210;2011-04-03;2.2;16.3;25.5
97421210;2011-04-04;21.2;17;25.5
97421210;2011-04-05;5.8;17.5;25.4
97421210;2011-04-06;8.4;16.8;26.5
97421210;2011-04-07;15;17.7;26.1
97421210;2011-04-08;16.6;18.7;23.6
97421210;2011-04-09;1.2;18.7;23.6
97421210;2011-04-10;0.2;15.7;25.4
97421210;2011-04-11;0;17.2;28.3
97421210;2011-04-12;0;16.5;25
97421210;2011-04-13;0.8;16.1;25.1
97421210;2011-04-14;24.6;16.3;26.7
97421210;2011-04-15;8.8;17.4;21.2
97421210;2011-04-16;0;17.4;25.6
97421210;2011-04-17;0.4;17.2;24.5
97421210;2011-04-18;2.4;17.4;22.9
97421210;2011-04-19;1;17.4;21.8
97421210;2011-04-20;0;14.8;26.6
97421210;2011-04-21;6.4;16.4;25.3
97421210;2011-04-22;0;16.3;24.6
97421210;2011-04-23;0.2;15.6;26.4
97421210;2011-04-24;0;16.5;24.7
97421210;2011-04-25;0;16.9;26.4
97421210;2011-04-26;0.6;17;26.5
97421210;2011-04-27;0.2;16.7;25.9
97421210;2011-04-28;0;17;26.8
97421210;2011-04-29;0.2;16.2;26
97421210;2011-04-30;0.2;15.4;25.3
97421210;2011-05-01;0;14.2;24
97421210;2011-05-02;0;13.9;25.9
97421210;2011-05-03;5.6;14.9;24.7
97421210;2011-05-04;32.8;14.6;22.8
97421210;2011-05-05;2;15.1;23.2
97421210;2011-05-06;2;15.9;24.2
97421210;2011-05-07;1.2;15.3;26.9
97421210;2011-05-08;0.2;14.8;23.5
97421210;2011-05-09;6;14.3;20.7
97421210;2011-05-10;10.2;15.6;20.3
97421210;2011-05-11;10;16.7;19.5
97421210;2011-05-12;0.4;15.7;24.3
97421210;2011-05-13;0.2;15;25
97421210;2011-05-14;0.2;15;22.5
97421210;2011-05-15;0.2;14;23.4
97421210;2011-05-16;0.2;13.6;22.8
97421210;2011-05-17;0;13.3;23.3
97421210;2011-05-18;0.6;14.3;24.8
97421210;2011-05-19;0.2;13.4;23.6
97421210;2011-05-20;0;13.2;23
97421210;2011-05-21;0;14.4;22.9
97421210;2011-05-22;0.2;14.9;23.8
97421210;2011-05-23;0;14.4;25.1
97421210;2011-05-24;0.2;14.8;24.9
97421210;2011-05-25;0.4;14.4;21.5
97421210;2011-05-26;9.2;13.8;23.7
97421210;2011-05-27;0.2;14.5;22.7
97421210;2011-05-28;0;12.6;23.2
97421210;2011-05-29;0;13.2;22.8
97421210;2011-05-30;0.2;13.6;23.4
97421210;2011-05-31;0;13;24
97421210;2011-06-01;0.2;13;24
97421210;2011-06-02;0.2;12.5;23.3
97421210;2011-06-03;0;11.6;22.7
97421210;2011-06-04;3.8;12.2;23.6
97421210;2011-06-05;0.2;13.3;23.2
97421210;2011-06-06;0.2;12.8;22.8
97421210;2011-06-07;0.2;12.7;20.1
97421210;2011-06-08;0.2;12.4;20.7
97421210;2011-06-09;3;11.7;22.7
97421210;2011-06-10;0;12.8;22.2
97421210;2011-06-11;0.8;13.5;22.1
97421210;2011-06-12;60.4;14.2;19.5
97421210;2011-06-13;2.6;15.6;22.5
97421210;2011-06-14;8.8;15.9;20.3
97421210;2011-06-15;14.8;13.6;23.1
97421210;2011-06-16;36.4;15.5;19.1
97421210;2011-06-17;3.2;16;20.2
97421210;2011-06-18;1;14.9;21.2
97421210;2011-06-19;0;14.9;22.7
97421210;2011-06-20;5.4;10.7;18
97421210;2011-06-21;0;13;20.6
97421210;2011-06-22;0.4;10.4;21.3
97421210;2011-06-23;0.2;15.1;21.3
97421210;2011-06-24;0;11.6;22.9
97421210;2011-06-25;1.6;13.4;22.8
97421210;2011-06-26;35;15.4;18.2
97421210;2011-06-27;0.2;14.1;22.6
97421210;2011-06-28;0.2;12.9;22.8
97421210;2011-06-29;0.2;14.5;21
97421210;2011-06-30;0;11.3;21.5
97421210;2011-07-01;0.2;11.6;22.9
97421210;2011-07-02;2;12.9;21.8
97421210;2011-07-03;1;13.6;19.5
97421210;2011-07-04;0;11.5;21.7
97421210;2011-07-05;0;13.9;21
97421210;2011-07-06;0;13.2;19.5
97421210;2011-07-07;0;12.3;21.9
97421210;2011-07-08;0;14.4;20.4
97421210;2011-07-09;0;11.4;20.2
97421210;2011-07-10;0;11.2;20.2
97421210;2011-07-11;0;10;19.2
97421210;2011-07-12;0.2;9.6;17.8
97421210;2011-07-13;0;9;20.3
97421210;2011-07-14;0.2;9.7;20.1
97421210;2011-07-15;0.2;11.6;19.9
97421210;2011-07-16;15.4;13.2;16.4
97421210;2011-07-17;15.4;12.2;18.7
97421210;2011-07-18;8.4;13.9;18.5
97421210;2011-07-19;5.6;14.3;20
97421210;2011-07-20;0.8;13.8;20
97421210;2011-07-21;0.2;14.1;22
97421210;2011-07-22;0.2;12.1;21.7
97421210;2011-07-23;0;12.2;21
97421210;2011-07-24;0;10.1;19.1
97421210;2011-07-25;0;10.5;20
97421210;2011-07-26;1.4;11.9;22.3
97421210;2011-07-27;2.2;12.6;18.2
97421210;2011-07-28;4.8;12;21
97421210;2011-07-29;11.4;13.4;19.4
97421210;2011-07-30;1.8;13.4;18.7
97421210;2011-07-31;2;13;21.3
97421210;2011-08-01;1.2;12;20.9
97421210;2011-08-02;0;13;20.6
97421210;2011-08-03;0;10.7;21.3
97421210;2011-08-04;8.8;12.3;17.1
97421210;2011-08-05;0;13;19.5
97421210;2011-08-06;12.4;11.7;20.8
97421210;2011-08-07;14.4;13.7;17.4
